especie,n_pres,n_pred,n_folds,auc_glm,tss_glm,auc_gam,tss_gam,auc_rf,tss_rf,auc_gbm,tss_gbm,auc_maxent,tss_maxent,auc_ensemble,tss_ensemble,boyce_ensemble
Encelia canescens,387,9,3,0.5731,0.2534,0.7761,0.427,0.755,0.2271,0.7806,0.3184,0.8251,0.4153,0.7998,0.6083,0.9152
Schinus areira,323,7,3,0.4588,0.0621,0.5373,-0.0146,0.733,0.0363,0.6558,0.1178,0.6374,0.1899,0.7102,0.4566,0.297
Neltuma chilensis,306,7,4,0.6794,0.4503,0.846,0.4562,0.7733,0.2188,0.8183,0.28,0.6884,0.1992,0.7066,0.515,0.2364
Krameria cistoidea,254,7,4,0.5233,0.2056,0.5612,0.2948,0.7072,-0.0222,0.6545,-0.0349,0.7263,0.3536,0.7189,0.4185,0.8788
Eulychnia acida,199,8,3,0.8589,0.5663,0.7827,0.2458,0.6861,0.3161,0.6931,0.2199,0.861,0.3987,0.8563,0.7288,0.8788
Cumulopuntia sphaerica,175,7,4,0.5131,0.1202,0.5655,0.0237,0.6343,-0.0022,0.6676,0.1365,0.6439,0.2036,0.6411,0.4199,0.4788
Skytanthus acutus,162,8,5,0.8772,0.5484,0.8399,0.4768,0.6953,0.1412,0.7305,0.1298,0.7606,0.5432,0.7533,0.6393,0.9273
Miqueliopuntia miquelii,153,7,4,0.8208,0.5229,0.8646,0.5902,0.7612,0.1421,0.6879,0.0459,0.8886,0.4008,0.9212,0.7848,0.8037
Senna cumingii,138,7,5,0.6938,0.2897,0.7808,0.3192,0.6499,-0.0092,0.6823,-0.0179,0.6414,0.2112,0.661,0.4135,0.8667
Centaurea chilensis,129,7,4,0.5909,0.1647,0.574,0.1809,0.9302,0.2188,0.8474,0.1572,0.6912,0.2028,0.876,0.7503,0.5515
Oxalis gigantea,123,8,5,0.878,0.5672,0.9305,0.5976,0.8025,0.0935,0.7894,0.2097,0.784,0.4897,0.8336,0.7448,0.9879
Nolana sedifolia,122,8,5,0.7495,0.4268,0.8059,0.4743,0.7419,0.0986,0.7398,0.1225,0.7442,0.535,0.7546,0.6145,0.8061
Nolana divaricata,116,8,5,0.9055,0.6393,0.8942,0.5633,0.8072,0.069,0.8366,0.1454,0.9348,0.6478,0.9319,0.8113,0.903
Caesalpinia angulata,114,7,3,0.773,0.3783,0.8303,0.4525,0.6172,0.1505,0.7871,0.083,0.6408,0.3275,0.6505,0.5506,0.7818
Atriplex semibaccata,83,7,3,0.3259,-0.0807,0.3278,-0.1541,0.6289,0.1797,0.4778,0.0647,0.5233,-0.0067,0.6129,0.4102,0.0711
Pleurophora pungens,69,6,4,0.3752,0.0549,0.7348,0.1716,0.6246,0.0074,0.6463,0.009,0.6167,0.0548,0.5688,0.3351,0.3939
