especie,temp_media_anual,estacionalidad_temp,temp_max_mes_calido,temp_min_mes_frio,rango_anual_temp,temp_media_trim_calido,temp_media_trim_frio,precip_anual,estacionalidad_precip,precip_trim_seco
Encelia canescens,0.001,0.0051,0.0008,0.0012,0.0071,0.0006,0.0088,0.0261,0.0025,0.0007
Schinus areira,0.0015,0.0005,0.0001,0.0005,0.0002,0.0002,0.0014,0.0088,0.0021,0.0002
Krameria cistoidea,0.0013,0.0126,0.0028,0.0029,0.0134,0.0026,0.0015,0.1738,0.017,0.001
Eulychnia acida,0.0013,0.0044,0.0015,0.0033,0.0043,0.0027,0.0016,0.0306,0.0041,0.0018
Neltuma chilensis,0.0013,0.0001,0.0002,0.0002,0.0001,0.0003,0.0001,0.0005,0.0009,0.0003
Cumulopuntia sphaerica,0.0005,0.0025,0.0001,0.0006,0.0014,0.0002,0.001,0.0059,0.0007,0.0003
Skytanthus acutus,0.0006,0.0054,0.0049,0.0012,0.0021,0.0014,0.0014,0.0934,0.0024,0.0003
Miqueliopuntia miquelii,0.0006,0.0089,0.001,0.0017,0.0035,0.0011,0.0073,0.0297,0.003,0.0005
Senna cumingii,0.0004,0.0032,0.0009,0.0012,0.0037,0.0008,0.0005,0.0062,0.0015,0.0014
Oxalis gigantea,0.0003,0.0011,0.0006,0.0007,0.0235,0.0004,0.0005,0.0047,0.001,0.0014
Nolana sedifolia,0.0001,0.0018,0.0005,0.0016,0.0015,0.0003,0.0003,0.0013,0.0009,0.0001
Nolana divaricata,0.0001,0.0019,0.0013,0.0005,0.0011,0.001,0.0004,0.0035,0.001,0.0001
Pleurophora pungens,0.0002,0.012,0.0007,0.0003,0.0164,0.0003,0.0002,0.0219,0.0029,0.0002
